id,phase,pr,severity,roadmap_text,objection,evidence,suggested_fix,status_as_of_v0_16_0
A11,P0,Consensus review,Minor,"Consensus review: P0.2 and P0.3 drafted against agreed schema; integrate after P0.1 merges","Understates coupling. P0.3's Check 1 queries source_health, which requires P0.2's write contract (monotonic MAX on last_event_ts, consecutive_failures reset semantics).","Actual merge order: P0.1 (2026-04-23) → P0.2 (2026-04-23) → P0.3 (2026-04-24). Sequential in practice, not the 'drafted in parallel' framing the roadmap used. P0.3 materially depended on P0.2's semantics being stable.","For future phases, reword the roadmap to say 'sequential against the write-contract doc (01-source-health.md), consensus review of adjacent PRs before merge.'","VALIDATED — sequential was correct. Archive this lesson for P1/P2 phase planning."
A12,P1,P1.1,Minor,"Watchdog: StartInterval=60 in launchd plist; I-7 threshold 180s = 3× interval","launchd StartInterval schedules next run N seconds after previous exit, not wall-clock. Under load, cycles drift and the 3× tolerance shrinks to 2×.","Apple launchd docs: StartInterval is time since last exit. 04-watchdog.md line 28: StartInterval=60.","Either switch to StartCalendarInterval for strict wall-clock cadence, or bump I-7 threshold to 5× (300s) to buy headroom under drift. Document the launchd semantics in 04-watchdog.md.","OPEN — P1.1 not started."
A13,P0→P1,P0.3 Check 8,Minor,"Check 8 — watchdog heartbeat reads source_health WHERE source='watchdog'","Between P0.3 merge and P1.1 merge, Check 8 has no backing data source. The shipped code falls back gracefully ('no data'), but live installs sit in this state indefinitely until P1.1.","commands.rs:1299 pre-migration fallback; v0.16.0 release 2026-04-24 is the first shipped version with Check 8 — no watchdog populating 'watchdog' row exists yet.","Add release-note language for v0.16.0: 'Check 8 returns [--] no data until watchdog ships.' Or gate Check 8 behind a config flag defaulting off until P1.1 lands.","LIVE — as of v0.16.0, Check 8 is shipped but always returns 'no data.' Currently documented as pre-migration fallback but users may read it as a bug."
A14,P0,P0.3 scope,Major,"P0.3 covers checks 1, 4, 7, 8; Checks 2, 3, 5, 6, 9, 10 deferred to P1.3","Check 3 (browser extension dist/ present) is the exact fingerprint of sev1 H2. Deferring it to P1.3 was the wrong call.","Actually — grep -n 'check_firefox_extension_dist_at' crates/hippo-daemon/src/commands.rs:1498 shows Check 3's functional equivalent already ships (landed in PR #54 sev1 hotfix before the roadmap existed). So Check 3 is in the repo; the roadmap just doesn't reflect that reality.","Update the roadmap's P1.3 scope to remove Check 3 (already shipped) and optionally note its provenance (#54). Keep remaining checks (2, 5, 6, 9, 10) in P1.3.","PARTIALLY RESOLVED — Check 3 exists from #54. Roadmap text is stale."
A15,P1,P1.2,Minor,"P1.2 Scope: Extension heartbeat + NM host forwarding + probe_tag column stub + popup badge","probe_tag column is already in the schema (P0.1, PR #67). Listing a 'stub' in P1.2 is redundant or ambiguous.","git show 96991b7 --stat shows ALTER TABLE ADD COLUMN probe_tag TEXT on three tables. storage.rs:389–391 confirms.","Remove 'probe_tag column stub' from P1.2 scope. If a probe_tag writer is intended, rename the item to 'probe_tag populate logic' and specify which source.","OPEN — P1.2 not started; fix the wording before the team launches."
A16,Timeline,Headline,Minor,"Overhaul ships in four phases across ~7 days","Math: P0 day 1 + P1 days 2–3 + P2 days 4–7 + 48h dual-run + P3 cleanup → day 9–10, not day 7.","Roadmap line 3 claims 7 days. P0 actual took 1.5 days already (see A7).","Restate as '~7 days for feature work, ~10 days to P3 cleanup and tmux-spawn removal.' Adjust based on P0 actuals: if P0 took 1.5 days against 0.5 claimed, assume 3× for similarly-scoped phases.","OPEN — update the roadmap headline to reflect actual pace."
A17,P1,P1.1 risk,Minor,"Risk 'Watchdog alarm fatigue during bring-up': High likelihood, Medium impact; mitigation notify_macos=false + conservative thresholds","No rollback plan if alarms still fire too often. Default alarm_rate_limit_minutes=15 is aggressive for a brand-new subsystem.","04-watchdog.md §Configuration: alarm_rate_limit_minutes = 15 default.","Ship P1.1 with alarm_rate_limit_minutes=60 for v0.17, step down to 15 in v0.18 after soak. Or add a 'bring-up mode' flag that suppresses alarms for the first 24 h after watchdog install.","OPEN — P1.1 not started."
A18,P2,P2.2 risk,Major,"Risk 'probe_tag filter missing from a query path': Medium/Medium; mitigation = P2.2 integration test","One integration test over ~12 call sites across two languages is fragile. A new query added later has no guard rail.","05-synthetic-probes.md §Grep List enumerates 12 files across daemon + brain + MCP.","Add a Semgrep rule matching SELECT ... FROM (events|claude_sessions|browser_events) without probe_tag IS NULL that fails CI. The .semgrep.yml already exists from #60.","OPEN — P2 not started."
A19,P0,Guiding principle,Nit,"'No big-bang migrations'","P0.1 is schema-level and strictly blocking — every downstream PR depends on it. Calling that 'not big-bang' is a phrasing stretch.","Roadmap line 16–17: 'P0.1 is the only blocking dependency.'","Rephrase to 'no big-bang feature migrations; schema-level migrations ship first as an atomic preamble.'","OPEN — one-word doc fix."
A20,M1,Success criteria,Minor,"M1: diagnosable via SELECT * FROM source_health in < 5 min without log-diving","No drill, no measurement. '5 min' is a human-timed metric that needs a scripted test.","00-overview.md §Success criteria #2 not connected to a test.","Add an M1 acceptance drill: scripted sev1 simulation (disable Firefox → wait → hippo doctor + SELECT source_health) stopwatched and recorded.","LIVE — M1 complete (P0 shipped), but drill was not executed. Could be done now against v0.16.0 to ratify M1."
A21,P0,Parallelism,Minor,"P0 estimates are per-agent (4h/4h/3h/2h/2h) with 'all five launch simultaneously'","Review cycles not accounted for. Same-day merge of 5 PRs with consensus reviews is aggressive.","P0 actual wall-clock: 2026-04-23 through 2026-04-24 (1.5 days). Consensus review happened via sequential merge ordering, not same-day.","Add a 'review + merge' line budget (1h per PR) to phase totals. Use 1.5 days as the revised P0 duration for planning reference.","VALIDATED — P0 took 3× the claimed 0.5 days."
A22,P0,Merge conflicts,Minor,"Risk register omits: daemon.rs touched by multiple P0 PRs","P0.2 modifies flush_events in daemon.rs; P0.4 also touched metric call sites inside flush paths (the type→source rename).","P0.2 merged 2026-04-23 (PR #68); P0.4 merged 2026-04-24 (PR #66). Sequential merge, one rebase cycle — no actual conflict, but the risk existed.","For future phases with overlapping hot files, call out the merge order explicitly in the roadmap ('merge P0.4 first, then P0.2 rebased').","RESOLVED — sequential merge avoided the conflict. Keep as planning-heuristic for P1/P2."
A23,P1,P1.3 effort,Minor,"P1.3 Effort: ~6h for doctor checks 2, 3, 5, 6, 9, 10","6h for 6 checks is 1h per check. Check 5 (live-JSONL vs DB) + Check 6 (tail + awk + SQL) + Check 2 (NM manifest parse) are individually non-trivial. P0.3 calibration (A3) supports the objection.","03-doctor-upgrades.md Check 5 requires glob + per-file readline + SQL. Check 6 parses session-hook-debug.log. Check 2 parses NM manifest JSON and stats referenced binary.","Revise to 1–1.5 days. Additionally: drop Check 3 from P1.3 (already shipped via #54) so the remaining scope is 5 checks.","OPEN — P1.3 not started."
A24,P3,P3.2 scope,Minor,"P3.2: Delete tmux-spawn from shell/claude-session-hook.sh; reduce to marker write","Deleting tmux-spawn removes the backstop that kept sessions ingesting when the watcher was down between P2.1 and P3.1.","08-anti-patterns.md AP-9 is strict about removing fallbacks. Tmux-spawn is not JSONL fallback but is a recovery path.","Before P3.2 merges, require 7-day clean window (not 48h) and add revert instructions to the hook header. Preserve hippo ingest claude-session --batch as the documented manual recovery.","OPEN — P3 not started."
